Place ID,餐廳名稱,地址,Google 地圖網址,高腳椅屬性,佐證/說明,現有資料庫名稱,現有資料庫地址,目前兒童椅屬性,建議兒童椅屬性,目前兒童餐具屬性,目前兒童餐屬性,現有親子分級
ChIJb4TLv3KvQjQR880suB_3bBY,相思起小館,112台灣臺北市北投區一德里中央北路四段495號,https://www.google.com/maps/search/?api=1&query=%E7%9B%B8%E6%80%9D%E8%B5%B7%E5%B0%8F%E9%A4%A8&query_place_id=ChIJb4TLv3KvQjQR880suB_3bBY,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,相思起小館,112台灣臺北市北投區一德里中央北路四段495號,unknown,yes,unknown,no,高
ChIJb80krG-rQjQR1Yps1UBINss,攏玥?,115台灣臺北市南港區南港里南港路一段87號,https://www.google.com/maps/search/?api=1&query=%E6%94%8F%E7%8E%A5%E5%BD%A1&query_place_id=ChIJb80krG-rQjQR1Yps1UBINss,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,攏玥?,115台灣臺北市南港區南港里南港路一段87號,unknown,yes,unknown,unknown,資訊不足
ChIJb8PqPa2rQjQRFccELUVuSlo,大烹小饌 福客粥,105台灣臺北市松山區吉祥里八德路四段229號,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E7%83%B9%E5%B0%8F%E9%A5%8C%20%E7%A6%8F%E5%AE%A2%E7%B2%A5&query_place_id=ChIJb8PqPa2rQjQRFccELUVuSlo,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,大烹小饌 福客粥,105台灣臺北市松山區吉祥里八德路四段229號,unknown,yes,unknown,no,高
ChIJb9CZ9m6pQjQRZ7PgTEtMDOo,嘉廚 Collective Excellent restaurant,104台灣臺北市中山區中山北路二段96-1號雙連郵局隔壁,https://www.google.com/maps/search/?api=1&query=%E5%98%89%E5%BB%9A%20Collective%20Excellent%20restaurant&query_place_id=ChIJb9CZ9m6pQjQRZ7PgTEtMDOo,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,嘉廚 Collective Excellent restaurant,104台灣臺北市中山區中山北路二段96-1號雙連郵局隔壁,unknown,yes,unknown,no,高
ChIJbQdCfnyrQjQRoCTy-sMteqU,MJ 餐酒館,10478台灣臺北市中山區江山里建國北路二段121號,https://www.google.com/maps/search/?api=1&query=MJ%20%E9%A4%90%E9%85%92%E9%A4%A8&query_place_id=ChIJbQdCfnyrQjQRoCTy-sMteqU,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,MJ 餐酒館,10478台灣臺北市中山區江山里建國北路二段121號,unknown,yes,unknown,no,高
ChIJbRvocVarQjQRmZput_DV98I,義舍廚房,105台灣臺北市松山區三民里民生東路五段137巷2-2號,https://www.google.com/maps/search/?api=1&query=%E7%BE%A9%E8%88%8D%E5%BB%9A%E6%88%BF&query_place_id=ChIJbRvocVarQjQRmZput_DV98I,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,義舍廚房,105台灣臺北市松山區三民里民生東路五段137巷2-2號,unknown,yes,unknown,no,高
ChIJbZMi8smrQjQRFjiDk2bA2X4,米家廚房義大利麵,110台灣台北市信??信義區信?路四段395巷6弄12號1樓,https://www.google.com/maps/search/?api=1&query=%E7%B1%B3%E5%AE%B6%E5%BB%9A%E6%88%BF%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5&query_place_id=ChIJbZMi8smrQjQRFjiDk2bA2X4,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,米家廚房義大利麵,110台灣台北市信??信義區信?路四段395巷6弄12號1樓,unknown,yes,unknown,no,高
ChIJbbiochSpQjQRuFAr8phgl2U,福來許珈琲館 Fleisch Caf?,103台灣臺北市大同區永樂里迪化街一段76號,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%BE%86%E8%A8%B1%E7%8F%88%E7%90%B2%E9%A4%A8%20Fleisch%20Caf%C3%A9&query_place_id=ChIJbbiochSpQjQRuFAr8phgl2U,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,福來許珈琲館 Fleisch Caf?,103台灣臺北市大同區永樂里迪化街一段76號,unknown,yes,unknown,no,高
ChIJbeUxL9KrQjQR5-ForQjUEIQ,斐得蔬食 VERDURE 松山店-松山健康蔬食,105台灣臺北市松山區民有里民權東路三段160巷1-2號,https://www.google.com/maps/search/?api=1&query=%E6%96%90%E5%BE%97%E8%94%AC%E9%A3%9F%20VERDURE%20%E6%9D%BE%E5%B1%B1%E5%BA%97-%E6%9D%BE%E5%B1%B1%E5%81%A5%E5%BA%B7%E8%94%AC%E9%A3%9F&query_place_id=ChIJbeUxL9KrQjQR5-ForQjUEIQ,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,斐得蔬食 VERDURE 松山店-松山健康蔬食,105台灣臺北市松山區民有里民權東路三段160巷1-2號,unknown,yes,unknown,unknown,高
ChIJbebEdA6sQjQRaasm9Wu4mNI,晴山日本料理,10491台灣臺北市中山區成功里樂群二路55號3樓,https://www.google.com/maps/search/?api=1&query=%E6%99%B4%E5%B1%B1%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86&query_place_id=ChIJbebEdA6sQjQRaasm9Wu4mNI,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,晴山日本料理,10491台灣臺北市中山區成功里樂群二路55號3樓,unknown,yes,unknown,no,中
ChIJbyjfSQSqQjQRhVrZWCaY1y8,季滿屋日本料理,116台灣臺北市文山區景東里景華街74號,https://www.google.com/maps/search/?api=1&query=%E5%AD%A3%E6%BB%BF%E5%B1%8B%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86&query_place_id=ChIJbyjfSQSqQjQRhVrZWCaY1y8,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,季滿屋日本料理,116台灣臺北市文山區景東里景華街74號,unknown,yes,unknown,unknown,高
ChIJc0dWY9erQjQR8RN1CdS7npE,樂野食,108台灣臺北市萬華區萬壽里武昌街二段37號5樓,https://www.google.com/maps/search/?api=1&query=%E6%A8%82%E9%87%8E%E9%A3%9F&query_place_id=ChIJc0dWY9erQjQR8RN1CdS7npE,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,樂野食,108台灣臺北市萬華區萬壽里武昌街二段37號5樓,unknown,yes,unknown,unknown,高
ChIJc95P6a6pQjQR9Ro3wIE2nhs,燒杯咖啡藝廚 Beaker ChefCafe,108台灣臺北市萬華區西園路一段240號,https://www.google.com/maps/search/?api=1&query=%E7%87%92%E6%9D%AF%E5%92%96%E5%95%A1%E8%97%9D%E5%BB%9A%20Beaker%20ChefCafe&query_place_id=ChIJc95P6a6pQjQR9Ro3wIE2nhs,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,燒杯咖啡藝廚 Beaker ChefCafe,108台灣臺北市萬華區西園路一段240號,unknown,yes,unknown,unknown,資訊不足
ChIJcUINsMirQjQRjfEi_dCI_jU,ChiaoDuo House巧?洋房,106台灣臺北市大安區車層里仁愛路四段345巷5弄17號,https://www.google.com/maps/search/?api=1&query=ChiaoDuo%20House%E5%B7%A7%E5%93%9A%E6%B4%8B%E6%88%BF&query_place_id=ChIJcUINsMirQjQRjfEi_dCI_jU,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,ChiaoDuo House巧?洋房,106台灣臺北市大安區車層里仁愛路四段345巷5弄17號,unknown,yes,unknown,unknown,資訊不足
ChIJcXuBAfarQjQRgsHCE1nmWj0,海派私房菜 八德店,105台灣臺北市松山區敦化里八德路三段12巷5弄26號,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E6%B4%BE%E7%A7%81%E6%88%BF%E8%8F%9C%20%E5%85%AB%E5%BE%B7%E5%BA%97&query_place_id=ChIJcXuBAfarQjQRgsHCE1nmWj0,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,海派私房菜 八德店,105台灣臺北市松山區敦化里八德路三段12巷5弄26號,unknown,yes,unknown,unknown,高
