place_id,name,address,cuisine,parent_friendly_level,google_maps_url,phone,website_url,reservation_url
ChIJI3KteYKvQjQRqZbMhmM8xH8,櫛瓜咖啡 Zucchini Café,111台灣臺北市士林區天玉里天母西路35 號,咖啡廳,高,https://www.google.com/maps/search/?api=1&query=%E6%AB%9B%E7%93%9C%E5%92%96%E5%95%A1%20Zucchini%20Caf%C3%A9&query_place_id=ChIJI3KteYKvQjQRqZbMhmM8xH8,,,
ChIJtelRH0ipQjQRzR_TEitNmxM,蕗蕗花嘴 漢堡 附近早餐店,104台灣臺北市中山區松江路140巷12號,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E8%95%97%E8%95%97%E8%8A%B1%E5%98%B4%20%E6%BC%A2%E5%A0%A1%20%E9%99%84%E8%BF%91%E6%97%A9%E9%A4%90%E5%BA%97&query_place_id=ChIJtelRH0ipQjQRzR_TEitNmxM,,,
ChIJweTZLl2rQjQRcPtOFR7TP4Q,薄多義 Bite2Eat 微風南山店,110台灣臺北市信義區西村里松智路17號5 樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E8%96%84%E5%A4%9A%E7%BE%A9%20Bite2Eat%20%E5%BE%AE%E9%A2%A8%E5%8D%97%E5%B1%B1%E5%BA%97&query_place_id=ChIJweTZLl2rQjQRcPtOFR7TP4Q,,,
ChIJNfAt5MSrQjQR-Z8NpMSCkjk,霞飛驛歐法西餐,106台灣臺北市大安區大學里新生南路三段60巷8號,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E9%9C%9E%E9%A3%9B%E9%A9%9B%E6%AD%90%E6%B3%95%E8%A5%BF%E9%A4%90&query_place_id=ChIJNfAt5MSrQjQR-Z8NpMSCkjk,,,
ChIJi0cR2fSvQjQRNuwpK9fh3ec,韓義廚房義大利麵,111台灣臺北市士林區文林路49號2樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E9%9F%93%E7%BE%A9%E5%BB%9A%E6%88%BF%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5&query_place_id=ChIJi0cR2fSvQjQRNuwpK9fh3ec,,,
ChIJ77D-LtWrQjQR3d0eh3LrLU4,餵我早餐 The Whale 公園店,106台灣臺北市大安區龍圖里建國南路二段11巷28號1樓,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E9%A4%B5%E6%88%91%E6%97%A9%E9%A4%90%20The%20Whale%20%E5%85%AC%E5%9C%92%E5%BA%97&query_place_id=ChIJ77D-LtWrQjQR3d0eh3LrLU4,,,
ChIJdRzXYourQjQR1Gd-rRhgg3c,餵我早餐 The Whale 忠孝店,110台灣臺北市信義區廣居里忠孝東路五段252號,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E9%A4%B5%E6%88%91%E6%97%A9%E9%A4%90%20The%20Whale%20%E5%BF%A0%E5%AD%9D%E5%BA%97&query_place_id=ChIJdRzXYourQjQR1Gd-rRhgg3c,,,
ChIJvZnB61etQjQRIWNoq4VhjOQ,鮮食早午餐,114台灣臺北市內湖區港富里內湖路二段51號,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E9%AE%AE%E9%A3%9F%E6%97%A9%E5%8D%88%E9%A4%90&query_place_id=ChIJvZnB61etQjQRIWNoq4VhjOQ,,,
ChIJp3mUMN6tQjQR35PJqtDtbg4,鮮廚房,114台灣臺北市內湖區港富里內湖路一段737巷19弄4號,複合式餐廳,高,https://www.google.com/maps/search/?api=1&query=%E9%AE%AE%E5%BB%9A%E6%88%BF&query_place_id=ChIJp3mUMN6tQjQR35PJqtDtbg4,,,
ChIJCwY8XimvQjQRHq9RBs16-0Y,鴻屋蛋包飯,111台灣臺北市士林區福佳里承德路五段55號,日式料理,高,https://www.google.com/maps/search/?api=1&query=%E9%B4%BB%E5%B1%8B%E8%9B%8B%E5%8C%85%E9%A3%AF&query_place_id=ChIJCwY8XimvQjQRHq9RBs16-0Y,,,
